work_order_number,dwr_name,technician,tech_subsidiary,job_stop_date,milestone,dummy_unit,on_site_hours,scope_of_work_performed
WO-35000563,DWR-11008191,US Field Technician 03,Pearce Services,2026-05-04,Fielding,Fielding,2.3,Synthetic aerial/buried field measurements captured.
WO-35000563,DWR-11008192,PSG Technician 39,Pearce Services Global,2026-05-07,Fielding,Field QC,0.77,Synthetic field package reviewed.
WO-35000563,DWR-11008193,PSG Technician 15,Pearce Services Global,2026-05-07,OCALC,Pole loading,1.38,Synthetic pole-loading extraction and submission.
WO-35000563,DWR-11008194,PSG Technician 16,Pearce Services Global,2026-05-09,Design,Design,7.12,Synthetic design production and record correction.
WO-35000563,DWR-11008195,PSG Technician 34,Pearce Services Global,2026-05-11,Design,Design QC,2.29,Synthetic design quality-control review completed.
WO-35000563,DWR-11008196,PSG Technician 12,Pearce Services Global,2026-05-12,Permitting,Permit Admin,1.18,Synthetic permit preparation or submission activity.
WO-35000563,DWR-11008197,PSG Technician 12,Pearce Services Global,2026-05-12,Permitting,Unscaled Permit,1.79,Synthetic permit preparation or submission activity.
WO-35000563,DWR-11008198,PSG Technician 37,Pearce Services Global,2026-05-12,Permitting,Quality Control - Permit,0.53,Synthetic permit preparation or submission activity.
WO-35000563,DWR-11008199,PSG Technician 35,Pearce Services Global,2026-05-15,Final Delivery,Final Delivery,0.51,Synthetic final package review and delivery.
WO-35000563,DWR-11008200,PSG Technician 37,Pearce Services Global,2026-05-15,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000563,DWR-11008201,PSG Technician 38,Pearce Services Global,2026-05-15,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000563,DWR-11008202,PSG Technician 30,Pearce Services Global,2026-05-15,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000564,DWR-11008203,PSG Technician 40,Pearce Services Global,2025-01-13,Intake,Intake,0.63,Synthetic WO and project folder created.
WO-35000564,DWR-11008204,PSG Technician 01,Pearce Services Global,2025-01-15,Pre-field,Pre-field,0.91,Synthetic scoping and site-map preparation completed.
WO-35000564,DWR-11008205,US Field Technician 17,Pearce Services,2025-01-17,Fielding,Field Travel,0.34,Synthetic travel to and from the work site.
WO-35000564,DWR-11008206,US Field Technician 17,Pearce Services,2025-01-17,Fielding,Site Visit,2.39,Synthetic site visit and local-contact coordination.
WO-35000564,DWR-11008207,US Field Technician 17,Pearce Services,2025-01-17,Fielding,Fielding,3.4,Synthetic aerial/buried field measurements captured.
WO-35000564,DWR-11008208,PSG Technician 25,Pearce Services Global,2025-01-18,Fielding,Field QC,0.44,Synthetic field package reviewed.
WO-35000564,DWR-11008209,PSG Technician 27,Pearce Services Global,2025-01-19,Design,Design,6.78,Synthetic design production and record correction.
WO-35000564,DWR-11008210,PSG Technician 39,Pearce Services Global,2025-01-21,Design,Design QC,3.03,Synthetic design quality-control review completed.
WO-35000564,DWR-11008211,PSG Technician 02,Pearce Services Global,2025-01-21,Design,Rework - Design,5.75,Synthetic customer or QC corrections implemented.
WO-35000564,DWR-11008212,PSG Technician 20,Pearce Services Global,2025-01-24,Final Delivery,Final Delivery,0.53,Synthetic final package review and delivery.
WO-35000564,DWR-11008213,PSG Technician 23,Pearce Services Global,2025-01-24,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000564,DWR-11008214,PSG Technician 02,Pearce Services Global,2025-01-24,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000565,DWR-11008215,PSG Technician 19,Pearce Services Global,2025-06-02,Intake,Intake,0.28,Synthetic WO and project folder created.
WO-35000565,DWR-11008216,PSG Technician 13,Pearce Services Global,2025-06-04,Pre-field,Pre-field,1.6,Synthetic scoping and site-map preparation completed.
WO-35000565,DWR-11008217,US Field Technician 16,Pearce Services,2025-06-09,Fielding,Field Travel,0.79,Synthetic travel to and from the work site.
WO-35000565,DWR-11008218,US Field Technician 16,Pearce Services,2025-06-09,Fielding,Site Visit,2.07,Synthetic site visit and local-contact coordination.
WO-35000565,DWR-11008219,US Field Technician 16,Pearce Services,2025-06-09,Fielding,Fielding,0.94,Synthetic aerial/buried field measurements captured.
WO-35000565,DWR-11008220,PSG Technician 35,Pearce Services Global,2025-06-13,Fielding,Field QC,0.72,Synthetic field package reviewed.
WO-35000565,DWR-11008221,PSG Technician 12,Pearce Services Global,2025-06-16,Design,Design,4.39,Synthetic design production and record correction.
WO-35000565,DWR-11008222,PSG Technician 32,Pearce Services Global,2025-06-18,Design,Design QC,2.52,Synthetic design quality-control review completed.
WO-35000565,DWR-11008223,PSG Technician 01,Pearce Services Global,2025-06-18,Design,Rework - Design,0.91,Synthetic customer or QC corrections implemented.
WO-35000565,DWR-11008224,PSG Technician 09,Pearce Services Global,2025-06-22,Final Delivery,Final Delivery,1.25,Synthetic final package review and delivery.
WO-35000565,DWR-11008225,PSG Technician 15,Pearce Services Global,2025-06-22,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000565,DWR-11008226,PSG Technician 32,Pearce Services Global,2025-06-22,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000566,DWR-11008227,PSG Technician 07,Pearce Services Global,2025-04-06,Intake,Intake,0.6,Synthetic WO and project folder created.
WO-35000566,DWR-11008228,PSG Technician 31,Pearce Services Global,2025-04-08,Pre-field,Pre-field,2.9,Synthetic scoping and site-map preparation completed.
WO-35000566,DWR-11008229,US Field Technician 20,Pearce Services,2025-04-10,Fielding,Field Travel,2.39,Synthetic travel to and from the work site.
WO-35000566,DWR-11008230,US Field Technician 20,Pearce Services,2025-04-10,Fielding,Site Visit,2.29,Synthetic site visit and local-contact coordination.
WO-35000566,DWR-11008231,US Field Technician 20,Pearce Services,2025-04-10,Fielding,Fielding,2.73,Synthetic aerial/buried field measurements captured.
WO-35000566,DWR-11008232,PSG Technician 32,Pearce Services Global,2025-04-11,Fielding,Field QC,0.39,Synthetic field package reviewed.
WO-35000566,DWR-11008233,PSG Technician 06,Pearce Services Global,2025-04-11,OCALC,Pole loading,0.34,Synthetic pole-loading extraction and submission.
WO-35000566,DWR-11008234,PSG Technician 20,Pearce Services Global,2025-04-13,Design,Design,6.81,Synthetic design production and record correction.
WO-35000566,DWR-11008235,PSG Technician 14,Pearce Services Global,2025-04-14,Design,Design,4.53,Synthetic design production and record correction.
WO-35000566,DWR-11008236,PSG Technician 03,Pearce Services Global,2025-04-16,Design,Design QC,2.73,Synthetic design quality-control review completed.
WO-35000566,DWR-11008237,PSG Technician 06,Pearce Services Global,2025-04-18,Permitting,Permit Admin,1.91,Synthetic permit preparation or submission activity.
WO-35000566,DWR-11008238,PSG Technician 31,Pearce Services Global,2025-04-18,Permitting,Unscaled Permit,2.52,Synthetic permit preparation or submission activity.
WO-35000566,DWR-11008239,PSG Technician 15,Pearce Services Global,2025-04-20,Final Delivery,Final Delivery,0.53,Synthetic final package review and delivery.
WO-35000566,DWR-11008240,PSG Technician 18,Pearce Services Global,2025-04-20,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000567,DWR-11008241,PSG Technician 29,Pearce Services Global,2026-05-10,Intake,Intake,0.31,Synthetic WO and project folder created.
WO-35000567,DWR-11008242,PSG Technician 21,Pearce Services Global,2026-05-12,Pre-field,Pre-field,3.2,Synthetic scoping and site-map preparation completed.
WO-35000567,DWR-11008243,US Field Technician 20,Pearce Services,2026-05-14,Fielding,Field Travel,1.48,Synthetic travel to and from the work site.
WO-35000567,DWR-11008244,US Field Technician 20,Pearce Services,2026-05-14,Fielding,Site Visit,1.57,Synthetic site visit and local-contact coordination.
WO-35000567,DWR-11008245,US Field Technician 20,Pearce Services,2026-05-14,Fielding,Fielding,5.72,Synthetic aerial/buried field measurements captured.
WO-35000567,DWR-11008246,PSG Technician 34,Pearce Services Global,2026-05-17,Fielding,Field QC,0.77,Synthetic field package reviewed.
WO-35000567,DWR-11008247,PSG Technician 07,Pearce Services Global,2026-05-17,OCALC,Pole loading,0.64,Synthetic pole-loading extraction and submission.
WO-35000567,DWR-11008248,PSG Technician 11,Pearce Services Global,2026-05-21,Design,Design,6.4,Synthetic design production and record correction.
WO-35000567,DWR-11008249,PSG Technician 24,Pearce Services Global,2026-05-23,Design,Design QC,1.51,Synthetic design quality-control review completed.
WO-35000567,DWR-11008250,PSG Technician 17,Pearce Services Global,2026-05-23,Design,Rework - Design,3.22,Synthetic customer or QC corrections implemented.
WO-35000567,DWR-11008251,PSG Technician 25,Pearce Services Global,2026-05-24,Final Delivery,Final Delivery,0.66,Synthetic final package review and delivery.
WO-35000567,DWR-11008252,PSG Technician 17,Pearce Services Global,2026-05-24,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000568,DWR-11008253,PSG Technician 30,Pearce Services Global,2026-04-13,Intake,Intake,0.55,Synthetic WO and project folder created.
WO-35000568,DWR-11008254,PSG Technician 10,Pearce Services Global,2026-04-15,Pre-field,Pre-field,1.18,Synthetic scoping and site-map preparation completed.
WO-35000568,DWR-11008255,US Field Technician 13,Pearce Services,2026-04-21,Fielding,Field Travel,0.87,Synthetic travel to and from the work site.
WO-35000568,DWR-11008256,US Field Technician 13,Pearce Services,2026-04-21,Fielding,Site Visit,1.75,Synthetic site visit and local-contact coordination.
WO-35000568,DWR-11008257,US Field Technician 13,Pearce Services,2026-04-21,Fielding,Fielding,3.62,Synthetic aerial/buried field measurements captured.
WO-35000568,DWR-11008258,PSG Technician 20,Pearce Services Global,2026-04-24,Fielding,Field QC,0.77,Synthetic field package reviewed.
WO-35000568,DWR-11008259,PSG Technician 03,Pearce Services Global,2026-04-24,OCALC,Pole loading,0.68,Synthetic pole-loading extraction and submission.
WO-35000568,DWR-11008260,PSG Technician 07,Pearce Services Global,2026-04-25,Design,Design,4.16,Synthetic design production and record correction.
WO-35000568,DWR-11008261,PSG Technician 09,Pearce Services Global,2026-04-25,Design,Design,5.55,Synthetic design production and record correction.
WO-35000568,DWR-11008262,PSG Technician 12,Pearce Services Global,2026-04-27,Design,Design,7.56,Synthetic design production and record correction.
WO-35000568,DWR-11008263,PSG Technician 35,Pearce Services Global,2026-04-27,Design,Design QC,1.01,Synthetic design quality-control review completed.
WO-35000568,DWR-11008264,PSG Technician 34,Pearce Services Global,2026-05-01,Final Delivery,Final Delivery,0.96,Synthetic final package review and delivery.
WO-35000568,DWR-11008265,PSG Technician 32,Pearce Services Global,2026-05-01,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000568,DWR-11008266,PSG Technician 12,Pearce Services Global,2026-05-01,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000568,DWR-11008267,PSG Technician 08,Pearce Services Global,2026-05-01,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000569,DWR-11008268,PSG Technician 03,Pearce Services Global,2025-03-17,Intake,Intake,0.3,Synthetic WO and project folder created.
WO-35000569,DWR-11008269,PSG Technician 39,Pearce Services Global,2025-03-19,Pre-field,Pre-field,2.01,Synthetic scoping and site-map preparation completed.
WO-35000569,DWR-11008270,US Field Technician 14,Pearce Services,2025-03-23,Fielding,Field Travel,1.26,Synthetic travel to and from the work site.
WO-35000569,DWR-11008271,US Field Technician 14,Pearce Services,2025-03-23,Fielding,Site Visit,0.97,Synthetic site visit and local-contact coordination.
WO-35000569,DWR-11008272,US Field Technician 14,Pearce Services,2025-03-23,Fielding,Fielding,3.62,Synthetic aerial/buried field measurements captured.
WO-35000569,DWR-11008273,PSG Technician 18,Pearce Services Global,2025-03-27,Fielding,Field QC,0.22,Synthetic field package reviewed.
WO-35000569,DWR-11008274,PSG Technician 27,Pearce Services Global,2025-03-28,Design,Design,7.16,Synthetic design production and record correction.
WO-35000569,DWR-11008275,PSG Technician 12,Pearce Services Global,2025-03-29,Design,Design,3.53,Synthetic design production and record correction.
WO-35000569,DWR-11008276,PSG Technician 03,Pearce Services Global,2025-03-31,Design,Design QC,0.87,Synthetic design quality-control review completed.
WO-35000569,DWR-11008277,PSG Technician 40,Pearce Services Global,2025-03-31,Design,Rework - Design,3.59,Synthetic customer or QC corrections implemented.
WO-35000569,DWR-11008278,PSG Technician 09,Pearce Services Global,2025-03-31,Permitting,Quality Control - Permit,1.62,Synthetic permit preparation or submission activity.
WO-35000569,DWR-11008279,PSG Technician 20,Pearce Services Global,2025-04-03,Final Delivery,Final Delivery,0.78,Synthetic final package review and delivery.
WO-35000569,DWR-11008280,PSG Technician 13,Pearce Services Global,2025-04-03,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000569,DWR-11008281,PSG Technician 15,Pearce Services Global,2025-04-03,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000569,DWR-11008282,PSG Technician 36,Pearce Services Global,2025-04-03,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000570,DWR-11008283,PSG Technician 38,Pearce Services Global,2025-07-26,Intake,Intake,0.69,Synthetic WO and project folder created.
WO-35000570,DWR-11008284,PSG Technician 16,Pearce Services Global,2025-07-28,Pre-field,Pre-field,2.14,Synthetic scoping and site-map preparation completed.
WO-35000570,DWR-11008285,US Field Technician 13,Pearce Services,2025-08-02,Fielding,Field Travel,0.48,Synthetic travel to and from the work site.
WO-35000570,DWR-11008286,US Field Technician 13,Pearce Services,2025-08-02,Fielding,Site Visit,2.41,Synthetic site visit and local-contact coordination.
WO-35000570,DWR-11008287,US Field Technician 13,Pearce Services,2025-08-02,Fielding,Fielding,1.5,Synthetic aerial/buried field measurements captured.
WO-35000570,DWR-11008288,PSG Technician 39,Pearce Services Global,2025-08-05,Fielding,Field QC,0.49,Synthetic field package reviewed.
WO-35000570,DWR-11008289,PSG Technician 07,Pearce Services Global,2025-08-05,OCALC,Pole loading,2.43,Synthetic pole-loading extraction and submission.
WO-35000570,DWR-11008290,PSG Technician 35,Pearce Services Global,2025-08-07,Design,Design,4.42,Synthetic design production and record correction.
WO-35000570,DWR-11008291,PSG Technician 22,Pearce Services Global,2025-08-09,Design,Design,2.13,Synthetic design production and record correction.
WO-35000570,DWR-11008292,PSG Technician 37,Pearce Services Global,2025-08-11,Design,Design,3.2,Synthetic design production and record correction.
WO-35000570,DWR-11008293,PSG Technician 14,Pearce Services Global,2025-08-11,Design,Design QC,2.62,Synthetic design quality-control review completed.
WO-35000570,DWR-11008294,PSG Technician 26,Pearce Services Global,2025-08-13,Permitting,Permit Admin,1.36,Synthetic permit preparation or submission activity.
WO-35000570,DWR-11008295,PSG Technician 28,Pearce Services Global,2025-08-13,Permitting,Quality Control - Permit,1.44,Synthetic permit preparation or submission activity.
WO-35000570,DWR-11008296,PSG Technician 22,Pearce Services Global,2025-08-17,Final Delivery,Final Delivery,1.29,Synthetic final package review and delivery.
WO-35000570,DWR-11008297,PSG Technician 03,Pearce Services Global,2025-08-17,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000571,DWR-11008298,PSG Technician 17,Pearce Services Global,2025-05-23,Intake,Intake,0.74,Synthetic WO and project folder created.
WO-35000571,DWR-11008299,PSG Technician 37,Pearce Services Global,2025-05-23,Pre-field,Pre-field,1.64,Synthetic scoping and site-map preparation completed.
WO-35000571,DWR-11008300,US Field Technician 07,Pearce Services,2025-05-27,Fielding,Field Travel,1.62,Synthetic travel to and from the work site.
WO-35000571,DWR-11008301,US Field Technician 07,Pearce Services,2025-05-27,Fielding,Site Visit,0.88,Synthetic site visit and local-contact coordination.
WO-35000571,DWR-11008302,US Field Technician 07,Pearce Services,2025-05-27,Fielding,Fielding,1.98,Synthetic aerial/buried field measurements captured.
WO-35000571,DWR-11008303,PSG Technician 01,Pearce Services Global,2025-05-29,Fielding,Field QC,0.52,Synthetic field package reviewed.
WO-35000571,DWR-11008304,PSG Technician 04,Pearce Services Global,2025-06-01,Design,Design,6.25,Synthetic design production and record correction.
WO-35000571,DWR-11008305,PSG Technician 26,Pearce Services Global,2025-06-02,Design,Design QC,1.6,Synthetic design quality-control review completed.
WO-35000571,DWR-11008306,PSG Technician 19,Pearce Services Global,2025-06-02,Design,Rework - Design,3.33,Synthetic customer or QC corrections implemented.
WO-35000571,DWR-11008307,PSG Technician 29,Pearce Services Global,2025-06-06,Final Delivery,Final Delivery,1.09,Synthetic final package review and delivery.
WO-35000571,DWR-11008308,PSG Technician 37,Pearce Services Global,2025-06-06,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000572,DWR-11008309,PSG Technician 20,Pearce Services Global,2026-05-17,Intake,Intake,0.36,Synthetic WO and project folder created.
WO-35000572,DWR-11008310,PSG Technician 26,Pearce Services Global,2026-05-17,Pre-field,Pre-field,2.66,Synthetic scoping and site-map preparation completed.
WO-35000572,DWR-11008311,US Field Technician 10,Pearce Services,2026-05-23,Fielding,Field Travel,2.11,Synthetic travel to and from the work site.
WO-35000572,DWR-11008312,US Field Technician 10,Pearce Services,2026-05-23,Fielding,Site Visit,2.02,Synthetic site visit and local-contact coordination.
WO-35000572,DWR-11008313,US Field Technician 10,Pearce Services,2026-05-23,Fielding,Fielding,3.2,Synthetic aerial/buried field measurements captured.
WO-35000572,DWR-11008314,PSG Technician 37,Pearce Services Global,2026-05-27,Fielding,Field QC,0.51,Synthetic field package reviewed.
WO-35000572,DWR-11008315,PSG Technician 25,Pearce Services Global,2026-05-30,Design,Design,6.78,Synthetic design production and record correction.
WO-35000572,DWR-11008316,PSG Technician 18,Pearce Services Global,2026-05-31,Design,Design,7.37,Synthetic design production and record correction.
WO-35000572,DWR-11008317,PSG Technician 12,Pearce Services Global,2026-06-02,Design,Design QC,2.56,Synthetic design quality-control review completed.
WO-35000572,DWR-11008318,PSG Technician 13,Pearce Services Global,2026-06-04,Permitting,Permit Admin,1.31,Synthetic permit preparation or submission activity.
WO-35000572,DWR-11008319,PSG Technician 40,Pearce Services Global,2026-06-08,Final Delivery,Final Delivery,1.4,Synthetic final package review and delivery.
WO-35000572,DWR-11008320,PSG Technician 25,Pearce Services Global,2026-06-08,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000572,DWR-11008321,PSG Technician 30,Pearce Services Global,2026-06-08,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000573,DWR-11008322,PSG Technician 08,Pearce Services Global,2025-04-10,Intake,Intake,0.38,Synthetic WO and project folder created.
WO-35000573,DWR-11008323,PSG Technician 21,Pearce Services Global,2025-04-12,Pre-field,Pre-field,2.57,Synthetic scoping and site-map preparation completed.
WO-35000573,DWR-11008324,US Field Technician 16,Pearce Services,2025-04-14,Fielding,Field Travel,0.97,Synthetic travel to and from the work site.
WO-35000573,DWR-11008325,US Field Technician 16,Pearce Services,2025-04-14,Fielding,Site Visit,1.83,Synthetic site visit and local-contact coordination.
WO-35000573,DWR-11008326,US Field Technician 16,Pearce Services,2025-04-14,Fielding,Fielding,0.82,Synthetic aerial/buried field measurements captured.
WO-35000573,DWR-11008327,PSG Technician 26,Pearce Services Global,2025-04-17,Fielding,Field QC,0.77,Synthetic field package reviewed.
WO-35000573,DWR-11008328,PSG Technician 04,Pearce Services Global,2025-04-17,OCALC,Pole loading,0.91,Synthetic pole-loading extraction and submission.
WO-35000573,DWR-11008329,PSG Technician 26,Pearce Services Global,2025-04-19,Design,Design,6.24,Synthetic design production and record correction.
WO-35000573,DWR-11008330,PSG Technician 11,Pearce Services Global,2025-04-19,Design,Design,2.43,Synthetic design production and record correction.
WO-35000573,DWR-11008331,PSG Technician 08,Pearce Services Global,2025-04-21,Design,Design,4.25,Synthetic design production and record correction.
WO-35000573,DWR-11008332,PSG Technician 02,Pearce Services Global,2025-04-21,Design,Design QC,3.37,Synthetic design quality-control review completed.
WO-35000573,DWR-11008333,PSG Technician 34,Pearce Services Global,2025-04-21,Design,Rework - Design,2.04,Synthetic customer or QC corrections implemented.
WO-35000573,DWR-11008334,PSG Technician 22,Pearce Services Global,2025-04-25,Final Delivery,Final Delivery,0.55,Synthetic final package review and delivery.
WO-35000573,DWR-11008335,PSG Technician 17,Pearce Services Global,2025-04-25,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000574,DWR-11008336,PSG Technician 02,Pearce Services Global,2026-04-16,Intake,Intake,0.5,Synthetic WO and project folder created.
WO-35000574,DWR-11008337,PSG Technician 24,Pearce Services Global,2026-04-16,Pre-field,Pre-field,0.68,Synthetic scoping and site-map preparation completed.
WO-35000574,DWR-11008338,US Field Technician 11,Pearce Services,2026-04-22,Fielding,Field Travel,2.37,Synthetic travel to and from the work site.
WO-35000574,DWR-11008339,US Field Technician 11,Pearce Services,2026-04-22,Fielding,Site Visit,1.09,Synthetic site visit and local-contact coordination.
WO-35000574,DWR-11008340,US Field Technician 11,Pearce Services,2026-04-22,Fielding,Fielding,6.26,Synthetic aerial/buried field measurements captured.
WO-35000574,DWR-11008341,PSG Technician 23,Pearce Services Global,2026-04-26,Fielding,Field QC,0.48,Synthetic field package reviewed.
WO-35000574,DWR-11008342,PSG Technician 37,Pearce Services Global,2026-04-28,Design,Design,8.35,Synthetic design production and record correction.
WO-35000574,DWR-11008343,PSG Technician 36,Pearce Services Global,2026-04-29,Design,Design,4.8,Synthetic design production and record correction.
WO-35000574,DWR-11008344,PSG Technician 25,Pearce Services Global,2026-04-30,Design,Design,6.75,Synthetic design production and record correction.
WO-35000574,DWR-11008345,PSG Technician 33,Pearce Services Global,2026-05-02,Design,Design QC,2.92,Synthetic design quality-control review completed.
WO-35000574,DWR-11008346,PSG Technician 06,Pearce Services Global,2026-05-04,Permitting,Unscaled Permit,2.81,Synthetic permit preparation or submission activity.
WO-35000574,DWR-11008347,PSG Technician 15,Pearce Services Global,2026-05-04,Permitting,Quality Control - Permit,1.08,Synthetic permit preparation or submission activity.
WO-35000574,DWR-11008348,PSG Technician 26,Pearce Services Global,2026-05-07,Final Delivery,Final Delivery,0.52,Synthetic final package review and delivery.
WO-35000574,DWR-11008349,PSG Technician 27,Pearce Services Global,2026-05-07,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000574,DWR-11008350,PSG Technician 38,Pearce Services Global,2026-05-07,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000575,DWR-11008351,PSG Technician 22,Pearce Services Global,2025-01-19,Intake,Intake,0.42,Synthetic WO and project folder created.
WO-35000575,DWR-11008352,PSG Technician 02,Pearce Services Global,2025-01-20,Pre-field,Pre-field,0.62,Synthetic scoping and site-map preparation completed.
WO-35000575,DWR-11008353,US Field Technician 01,Pearce Services,2025-01-27,Fielding,Field Travel,1.56,Synthetic travel to and from the work site.
WO-35000575,DWR-11008354,US Field Technician 01,Pearce Services,2025-01-27,Fielding,Site Visit,2.3,Synthetic site visit and local-contact coordination.
WO-35000575,DWR-11008355,US Field Technician 01,Pearce Services,2025-01-27,Fielding,Fielding,2.51,Synthetic aerial/buried field measurements captured.
WO-35000575,DWR-11008356,PSG Technician 12,Pearce Services Global,2025-01-29,Fielding,Field QC,0.4,Synthetic field package reviewed.
WO-35000575,DWR-11008357,PSG Technician 11,Pearce Services Global,2025-01-31,Design,Design,1.72,Synthetic design production and record correction.
WO-35000575,DWR-11008358,PSG Technician 26,Pearce Services Global,2025-02-01,Design,Design,8.36,Synthetic design production and record correction.
WO-35000575,DWR-11008359,PSG Technician 11,Pearce Services Global,2025-02-01,Design,Design,2.2,Synthetic design production and record correction.
WO-35000575,DWR-11008360,PSG Technician 07,Pearce Services Global,2025-02-03,Design,Design QC,2.09,Synthetic design quality-control review completed.
WO-35000575,DWR-11008361,PSG Technician 07,Pearce Services Global,2025-02-03,Permitting,Permit Admin,0.59,Synthetic permit preparation or submission activity.
WO-35000575,DWR-11008362,PSG Technician 26,Pearce Services Global,2025-02-03,Permitting,Unscaled Permit,1.96,Synthetic permit preparation or submission activity.
WO-35000575,DWR-11008363,PSG Technician 38,Pearce Services Global,2025-02-05,Final Delivery,Final Delivery,1.26,Synthetic final package review and delivery.
WO-35000575,DWR-11008364,PSG Technician 01,Pearce Services Global,2025-02-05,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000575,DWR-11008365,PSG Technician 19,Pearce Services Global,2025-02-05,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000575,DWR-11008366,PSG Technician 15,Pearce Services Global,2025-02-05,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000576,DWR-11008367,PSG Technician 23,Pearce Services Global,2025-11-30,Intake,Intake,0.41,Synthetic WO and project folder created.
WO-35000576,DWR-11008368,PSG Technician 08,Pearce Services Global,2025-12-02,Pre-field,Pre-field,2.6,Synthetic scoping and site-map preparation completed.
WO-35000576,DWR-11008369,US Field Technician 17,Pearce Services,2025-12-06,Fielding,Field Travel,1.98,Synthetic travel to and from the work site.
WO-35000576,DWR-11008370,US Field Technician 17,Pearce Services,2025-12-06,Fielding,Site Visit,1.62,Synthetic site visit and local-contact coordination.
WO-35000576,DWR-11008371,US Field Technician 17,Pearce Services,2025-12-06,Fielding,Fielding,0.79,Synthetic aerial/buried field measurements captured.
WO-35000576,DWR-11008372,PSG Technician 24,Pearce Services Global,2025-12-07,Fielding,Field QC,0.55,Synthetic field package reviewed.
WO-35000576,DWR-11008373,PSG Technician 25,Pearce Services Global,2025-12-07,OCALC,Pole loading,1.71,Synthetic pole-loading extraction and submission.
WO-35000576,DWR-11008374,PSG Technician 17,Pearce Services Global,2025-12-09,Design,Design,6.78,Synthetic design production and record correction.
WO-35000576,DWR-11008375,PSG Technician 27,Pearce Services Global,2025-12-09,Design,Design,6.06,Synthetic design production and record correction.
WO-35000576,DWR-11008376,PSG Technician 34,Pearce Services Global,2025-12-09,Design,Design,2.42,Synthetic design production and record correction.
WO-35000576,DWR-11008377,PSG Technician 31,Pearce Services Global,2025-12-11,Design,Design QC,1.32,Synthetic design quality-control review completed.
WO-35000576,DWR-11008378,PSG Technician 22,Pearce Services Global,2025-12-15,Final Delivery,Final Delivery,0.96,Synthetic final package review and delivery.
WO-35000576,DWR-11008379,PSG Technician 12,Pearce Services Global,2025-12-15,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000576,DWR-11008380,PSG Technician 22,Pearce Services Global,2025-12-15,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000577,DWR-11008381,PSG Technician 04,Pearce Services Global,2026-01-21,Intake,Intake,0.45,Synthetic WO and project folder created.
WO-35000577,DWR-11008382,PSG Technician 24,Pearce Services Global,2026-01-23,Pre-field,Pre-field,1.27,Synthetic scoping and site-map preparation completed.
WO-35000577,DWR-11008383,US Field Technician 18,Pearce Services,2026-01-27,Fielding,Field Travel,6.91,Synthetic travel to and from the work site.
WO-35000577,DWR-11008384,US Field Technician 18,Pearce Services,2026-01-27,Fielding,Site Visit,1.21,Synthetic site visit and local-contact coordination.
WO-35000577,DWR-11008385,US Field Technician 18,Pearce Services,2026-01-27,Fielding,Fielding,5.52,Synthetic aerial/buried field measurements captured.
WO-35000577,DWR-11008386,PSG Technician 24,Pearce Services Global,2026-01-30,Fielding,Field QC,0.59,Synthetic field package reviewed.
WO-35000577,DWR-11008387,PSG Technician 29,Pearce Services Global,2026-02-03,Design,Design,6.56,Synthetic design production and record correction.
WO-35000577,DWR-11008388,PSG Technician 07,Pearce Services Global,2026-02-04,Design,Design,4.91,Synthetic design production and record correction.
WO-35000577,DWR-11008389,PSG Technician 13,Pearce Services Global,2026-02-06,Design,Design QC,2.1,Synthetic design quality-control review completed.
WO-35000577,DWR-11008390,PSG Technician 06,Pearce Services Global,2026-02-09,Permitting,Permit Admin,0.81,Synthetic permit preparation or submission activity.
